date,LINK,NEAR,SUI,TAO
2025-06-04,18.76,2.52,3.22,0.149624
2025-06-04,18.76,2.52,3.23,0.149624
2025-06-04,18.76,2.53,3.22,0.149624
2025-06-04,18.76,2.51,3.24,0.149624
2025-06-04,18.76,2.51,3.24,0.149624
2025-06-04,18.76,2.51,3.24,0.149624
2025-06-04,18.76,2.51,3.24,0.149624
2025-06-04,18.76,2.51,3.24,0.149624
